nama_produk,kategori,harga,stok
Keripik Pisang,Snack,15000,23
Rendang Kering,Masakan,45000,10
Kopi Gayo,Minuman,25000,5
Sambal Ijo,Condiment,20000,0
Kacang Atom,Snack,12000,50
Teh Tarik,Minuman,18000,15
Dendeng Balado,Masakan,50000,8
Kerupuk Udang,Snack,10000,40
Sambal Terasi,Condiment,17000,12
Bolu Kukus,Kue,22000,20
Susu Kental Manis,Minuman,14000,25
Ayam Pop,Masakan,55000,6
Keripik Singkong,Snack,13000,30
Sambal Matah,Condiment,21000,7
Brownies Kukus,Kue,27000,18
Es Cendol,Minuman,16000,10
Sate Padang,Masakan,60000,4
Kue Cubit,Kue,12000,35
Sambal Bawang,Condiment,19000,9
Keripik Tempe,Snack,11000,28
Teh Manis,Minuman,9000,50
Gulai Ikan,Masakan,48000,3
Kue Lapis,Kue,25000,14
Sambal Roa,Condiment,23000,5
Kerupuk Kulit,Snack,15000,22
